countyname,FIPS
California,06000
Alameda County,06001
Alpine County,06003
Amador County,06005
Butte County,06007
Calaveras County,06009
Colusa County,06011
Contra Costa County,06013
Del Norte County,06015
El Dorado County,06017
Fresno County,06019
Glenn County,06021
Humboldt County,06023
Imperial County,06025
Inyo County,06027
Kern County,06029
Kings County,06031
Lake County,06033
Lassen County,06035
Los Angeles County,06037
Madera County,06039
Marin County,06041
Mariposa County,06043
Mendocino County,06045
Merced County,06047
Modoc County,06049
Mono County,06051
Monterey County,06053
Napa County,06055
Nevada County,06057
Orange County,06059
Placer County,06061
Plumas County,06063
Riverside County,06065
Sacramento County,06067
San Benito County,06069
San Bernardino County,06071
San Diego County,06073
San Francisco County,06075
San Joaquin County,06077
San Luis Obispo County,06079
San Mateo County,06081
Santa Barbara County,06083
Santa Clara County,06085
Santa Cruz County,06087
Shasta County,06089
Sierra County,06091
Siskiyou County,06093
Solano County,06095
Sonoma County,06097
Stanislaus County,06099
Sutter County,06101
Tehama County,06103
Trinity County,06105
Tulare County,06107
Tuolumne County,06109
Ventura County,06111
Yolo County,06113
Yuba County,06115
Adelanto city,06000
Agoura Hills city,06000
Alameda city,06000
Albany city,06000
Alhambra city,06000
Aliso Viejo city,06000
Alturas city,06000
Amador City city,06000
American Canyon city,06000
Anaheim city,06000
Anderson city,06000
Angels city,06000
Antioch city,06000
Apple Valley town,06000
Arcadia city,06000
Arcata city,06000
Arroyo Grande city,06000
Artesia city,06000
Arvin city,06000
Atascadero city,06000
Atherton town,06000
Atwater city,06000
Auburn city,06000
Avalon city,06000
Avenal city,06000
Azusa city,06000
Bakersfield city,06000
Baldwin Park city,06000
Banning city,06000
Barstow city,06000
Beaumont city,06000
Bell city,06000
Bellflower city,06000
Bell Gardens city,06000
Belmont city,06000
Belvedere city,06000
Benicia city,06000
Berkeley city,06000
Beverly Hills city,06000
Big Bear Lake city,06000
Biggs city,06000
Bishop city,06000
Blue Lake city,06000
Blythe city,06000
Bradbury city,06000
Brawley city,06000
Brea city,06000
Brentwood city,06000
Brisbane city,06000
Buellton city,06000
Buena Park city,06000
Burbank city,06000
Burlingame city,06000
Calabasas city,06000
Calexico city,06000
California City city,06000
Calimesa city,06000
Calipatria city,06000
Calistoga city,06000
Camarillo city,06000
Campbell city,06000
Canyon Lake city,06000
Capitola city,06000
Carlsbad city,06000
Carmel-by-the-Sea city,06000
Carpinteria city,06000
Carson city,06000
Cathedral City city,06000
Ceres city,06000
Cerritos city,06000
Chico city,06000
Chino city,06000
Chino Hills city,06000
Chowchilla city,06000
Chula Vista city,06000
Citrus Heights city,06000
Claremont city,06000
Clayton city,06000
Clearlake city,06000
Cloverdale city,06000
Clovis city,06000
Coachella city,06000
Coalinga city,06000
Colfax city,06000
Colma town,06000
Colton city,06000
Colusa city,06000
Commerce city,06000
Compton city,06000
Concord city,06000
Corcoran city,06000
Corning city,06000
Corona city,06000
Coronado city,06000
Corte Madera town,06000
Costa Mesa city,06000
Cotati city,06000
Covina city,06000
Crescent City city,06000
Cudahy city,06000
Culver City city,06000
Cupertino city,06000
Cypress city,06000
Daly City city,06000
Dana Point city,06000
Danville town,06000
Davis city,06000
Delano city,06000
Del Mar city,06000
Del Rey Oaks city,06000
Desert Hot Springs city,06000
Diamond Bar city,06000
Dinuba city,06000
Dixon city,06000
Dorris city,06000
Dos Palos city,06000
Downey city,06000
Duarte city,06000
Dublin city,06000
Dunsmuir city,06000
East Palo Alto city,06000
Eastvale city,06000
El Cajon city,06000
El Centro city,06000
El Cerrito city,06000
Elk Grove city,06000
El Monte city,06000
El Paso de Robles (Paso Robles) city,06000
El Segundo city,06000
Emeryville city,06000
Encinitas city,06000
Escalon city,06000
Escondido city,06000
Etna city,06000
Eureka city,06000
Exeter city,06000
Fairfax town,06000
Fairfield city,06000
Farmersville city,06000
Ferndale city,06000
Fillmore city,06000
Firebaugh city,06000
Folsom city,06000
Fontana city,06000
Fort Bragg city,06000
Fort Jones city,06000
Fortuna city,06000
Foster City city,06000
Fountain Valley city,06000
Fowler city,06000
Fremont city,06000
Fresno city,06000
Fullerton city,06000
Galt city,06000
Gardena city,06000
Garden Grove city,06000
Gilroy city,06000
Glendale city,06000
Glendora city,06000
Goleta city,06000
Gonzales city,06000
Grand Terrace city,06000
Grass Valley city,06000
Greenfield city,06000
Gridley city,06000
Grover Beach city,06000
Guadalupe city,06000
Gustine city,06000
Half Moon Bay city,06000
Hanford city,06000
Hawaiian Gardens city,06000
Hawthorne city,06000
Hayward city,06000
Healdsburg city,06000
Hemet city,06000
Hercules city,06000
Hermosa Beach city,06000
Hesperia city,06000
Hidden Hills city,06000
Highland city,06000
Hillsborough town,06000
Hollister city,06000
Holtville city,06000
Hughson city,06000
Huntington Beach city,06000
Huntington Park city,06000
Huron city,06000
Imperial city,06000
Imperial Beach city,06000
Indian Wells city,06000
Indio city,06000
Industry city,06000
Inglewood city,06000
Ione city,06000
Irvine city,06000
Irwindale city,06000
Isleton city,06000
Jackson city,06000
Jurupa Valley city,06000
Kerman city,06000
King City city,06000
Kingsburg city,06000
