countyname,currstatus,FIPS
Alameda County,84.83851674641147,06001
Amador County,89.75,06005
Butte County,84.47093023255816,06007
Calaveras County,91.74761904761905,06009
Colusa County,89.1695652173913,06011
Contra Costa County,88.00921052631577,06013
Del Norte County,77.33749999999999,06015
El Dorado County,89.25714285714288,06017
Fresno County,84.34169381107498,06019
Glenn County,90.12380952380953,06021
Humboldt County,89.21034482758623,06023
Imperial County,93.40833333333335,06025
Inyo County,90.0111111111111,06027
Kern County,88.01290322580647,06029
Kings County,89.07307692307693,06031
Lake County,87.52972972972977,06033
Lassen County,86.86923076923078,06035
Los Angeles County,85.00391061452508,06037
Madera County,90.17391304347827,06039
Marin County,93.33114754098364,06041
Mariposa County,90.99999999999999,06043
Mendocino County,88.85882352941181,06045
Merced County,89.74629629629628,06047
Modoc County,97.21111111111111,06049
Mono County,60.54166666666668,06051
Monterey County,88.48362068965514,06053
Napa County,91.87872340425533,06055
Nevada County,73.69285714285715,06057
Orange County,91.34055299539175,06059
Placer County,87.82357142857143,06061
Plumas County,89.76153846153846,06063
Riverside County,91.0185873605948,06065
Sacramento County,86.56310043668125,06067
San Benito County,92.59230769230768,06069
San Bernardino County,86.71171003717464,06071
San Diego County,83.95207100591716,06073
San Francisco County,84.27214285714288,06075
San Joaquin County,82.40616438356165,06077
San Luis Obispo County,94.87058823529412,06079
San Mateo County,87.53966480446928,06081
Santa Barbara County,88.65510204081632,06083
Santa Clara County,88.01920199501247,06085
Santa Cruz County,87.86867469879518,06087
Shasta County,89.44864864864863,06089
Sierra County,96.23333333333333,06091
Siskiyou County,94.48,06093
Solano County,88.8490909090909,06095
Sonoma County,78.62039473684212,06097
Stanislaus County,87.66902173913044,06099
Sutter County,82.36600000000003,06101
Tehama County,84.80454545454546,06103
Trinity County,93.38750000000002,06105
Tulare County,89.93801169590643,06107
Tuolumne County,83.63600000000001,06109
Ventura County,87.96318407960196,06111
Yolo County,93.76296296296299,06113
Yuba County,95.1032258064516,06115
