County Name,Ahead AADT,FIPS
Alameda County,117664.38356164383,6001
Alpine County,1708.0,6003
Amador County,6959.756097560976,6005
Butte County,16949.36170212766,6007
Calaveras County,5280.217391304348,6009
Contra Costa County,133358.09523809524,6013
Colusa County,13472.5,6011
Del Norte County,7954.848484848485,6015
El Dorado County,21547.80821917808,6017
Fresno County,39908.23204419889,6019
Glenn County,10011.842105263158,6021
Humboldt County,12570.0,6023
Imperial County,12454.625,6025
Inyo County,4240.25641025641,6027
Kern County,25134.645669291338,6029
Kings County,15981.818181818182,6031
Los Angeles County,157618.23765020026,6037
Lake County,9660.0,6033
Lassen County,4155.294117647059,6035
Madera County,30455.76923076923,6039
Mendocino County,8410.898876404495,6045
Merced County,20928.645833333332,6047
Mono County,2798.5116279069766,6051
Modoc County,1671.578947368421,6049
Monterey County,32062.93269230769,6053
Mariposa County,3752.6923076923076,6043
Marin County,84731.81818181818,6041
Napa County,27111.32075471698,6055
Nevada County,19651.53846153846,6057
Orange County,158485.7142857143,6059
Placer County,42896.42105263158,6061
Plumas County,3302.8947368421054,6063
Riverside County,87299.52789699571,6065
Sacramento County,99440.98591549296,6067
Santa Barbara County,34396.3963963964,6083
San Bernardino County,68451.81818181818,6071
San Benito County,20694.090909090908,6069
Santa Clara County,113252.95698924731,6085
Santa Cruz County,33786.5625,6087
San Diego County,104795.19565217392,6073
San Francisco County,105023.07692307692,6075
Shasta County,16824.69230769231,6089
Sierra County,3403.3333333333335,6091
Siskiyou County,7926.558441558442,6093
San Joaquin County,48512.34848484849,6077
San Luis Obispo County,27200.34188034188,6079
San Mateo County,85381.90789473684,6081
Solano County,76105.95238095238,6095
Sonoma County,40675.5905511811,6097
Stanislaus County,34991.27906976744,6099
Sutter County,21661.428571428572,6101
Tehama County,16097.551020408164,6103
Trinity County,2537.6,6105
Tulare County,20068.28025477707,6107
Tuolumne County,7072.0,6109
Ventura County,56020.37037037037,6111
Yolo County,33819.75,6113
Yuba County,23124.39024390244,6115
