cds,rtype,schoolname,districtname,countyname,charter_flag,coe_flag,studentgroup,currnumer,currdenom,currstatus,priornumer,priordenom,priorstatus,cal_method,safetynet,change,prioryear1_numer,prioryear1_denom,prioryear1_status,prioryear2_numer,prioryear2_denom,prioryear2_status,prioryear3_numer,prioryear3_denom,prioryear3_status,statuslevel,changelevel,color,box,reportingyear
01612590100065,S,Oakland Unity High,Oakland Unified,Alameda,Y,,AA,,2,,,10,,N/A,N,,,4,,,2,,,4,,0,0,0,0,2017f
01612590100065,S,Oakland Unity High,Oakland Unified,Alameda,Y,,ALL,57,64,89.1,148,179,82.7,3yr,Y,6.4,43,55,78.2,53,64,82.8,52,60,86.7,3,4,4,140,2017f
01612590100065,S,Oakland Unity High,Oakland Unified,Alameda,Y,,AS,,0,,,2,,N/A,N,,,2,,,0,,,0,,0,0,0,0,2017f
01612590100065,S,Oakland Unity High,Oakland Unified,Alameda,Y,,EL,18,24,75,63,86,73.3,3yr,N,1.7,18,26,69.2,25,33,75.8,20,27,74.1,2,4,0,0,2017f
01612590100065,S,Oakland Unity High,Oakland Unified,Alameda,Y,,FOS,,1,,,0,,,N,,,0,,,0,,,0,,0,0,0,0,2017f
01612590100065,S,Oakland Unity High,Oakland Unified,Alameda,Y,,HI,55,61,90.2,137,165,83,3yr,N,7.1,39,49,79.6,51,62,82.3,47,54,87,4,5,5,100,2017f
01612590100065,S,Oakland Unity High,Oakland Unified,Alameda,Y,,HOM,,5,,,1,,N/A,N,,,1,,,0,,,0,,0,0,0,0,2017f
01612590100065,S,Oakland Unity High,Oakland Unified,Alameda,Y,,MR,,0,,,2,,N/A,N,,,0,,,0,,,2,,0,0,0,0,2017f
01612590100065,S,Oakland Unity High,Oakland Unified,Alameda,Y,,SED,56,63,88.9,144,173,83.2,3yr,N,5.7,41,52,78.8,52,62,83.9,51,59,86.4,3,5,4,150,2017f
01612590100065,S,Oakland Unity High,Oakland Unified,Alameda,Y,,SWD,,4,,12,19,63.2,N/A,N,,,8,,,3,,,8,,0,0,0,0,2017f
19642460100081,S,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,,,AA,76,89,85.4,272,343,79.3,3yr,N,6.1,76,89,85.4,103,123,83.7,93,131,71,3,5,4,150,2017f
19642460100081,S,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,,,AI,,0,,,6,,N/A,N,,,2,,,3,,,1,,0,0,0,0,2017f
19642460100081,S,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,,,ALL,569,656,86.7,1958,2299,85.2,3yr,N,1.6,661,750,88.1,631,733,86.1,666,816,81.6,3,4,4,140,2017f
19642460100081,S,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,,,AS,,10,,14,15,93.3,N/A,N,,,6,,,3,,,6,,0,0,0,0,2017f
19642460100081,S,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,,,EL,86,112,76.8,292,418,69.9,3yr,N,6.9,97,122,79.5,88,124,71,107,172,62.2,2,5,3,200,2017f
19642460100081,S,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,,,FI,,9,,29,31,93.5,3yr,N,,,10,,12,12,100,,9,,0,0,0,0,2017f
19642460100081,S,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,,,FOS,11,14,78.6,10,11,90.9,1yr,N,-12.3,10,11,90.9,,0,,,0,,2,1,0,0,2017f
19642460100081,S,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,,,HI,439,502,87.5,1455,1693,85.9,3yr,N,1.5,511,578,88.4,447,520,86,497,595,83.5,3,4,4,140,2017f
