,composer_id,dob,first_name,last_name
0,1,1817,Mary,Beckett
1,2,1485,Nikolaus,Decius
2,3,1933,Jian,Ke
3,4,1600,Nicolaus,Kempis
4,5,1635,Johannes,Kempis
5,6,1642,Benedictus,Buns
6,7,1877,Thorvald,Aagaard
7,8,1964,Torstein,Aagaard-Nilsen
8,9,1593,"Truid,",Aagesen
9,10,1500,Johannes,Aal
10,11,1905,Heikki,Aaltoila
11,12,1910,Erkki,Aaltonen
12,13,1909,Thorleif,Aamodt
13,14,1902,Valter,Aamodt
14,15,1917,Els,Aarne
15,16,1480,Pietro,Aaron
16,17,1931,Alfred,Aarons
17,18,1895,Irving,Aaronson
18,19,1900,Evald,Aav
19,20,1884,Juhan,Aavik
20,21,1710,Joseph,Abaco
21,22,1792,Natale,Abadia
22,23,1079,"Pierre,",Abelard
23,24,1079,"Pierre,",Abelard
24,25,NaN,Giovanni,Abatessa
25,26,NaN,,Abaz
26,27,1845,Arkady,Abaza
27,28,1967,Theo,Abazis
28,29,1851,Pietro,Abbà-Cornaglia
29,30,1926,Marcello,Abbado
30,31,1870,Stefan,Abbakumov
31,32,1920,Ashraf,Abbasov
32,33,1957,Jalal,Abbasov
33,34,NaN,Gennaro,Abbate
34,35,1857,Achille,Abbati
35,36,1595,Antonio,Abbatini
36,37,1727,Joseph-Barnabé,Abbe
37,38,1866,Louis,Abbiate
38,39,1926,Alan,Abbott
39,40,1965,Riad,Abdel-Gawad
40,41,1924,Gamal,Abdel-Rahim
41,42,1962,Mohamed,Abdelfattah
42,43,1876,Bonifacio,Abdon
43,44,1937,Keiko,Abe
44,45,1911,Komei,Abe
45,46,1761,Johann,Abeille
46,47,1674,Pierre,Abeille
47,48,1922,"Rosalina,",Abejo
48,49,NaN,Ron,Abel
49,50,1835,Ludwig,Abel
50,51,1723,Karl,Abel
51,52,1795,Johann,Abel
52,53,1718,Leopold,Abel
53,54,1634,Clamor,Abel
54,55,1803,Charles,Abela
55,56,1079,"Pierre,",Abelard
56,57,1079,"Pierre,",Abelard
57,58,1893,Nicanor,Abelardo
58,59,1912,Lev,Abeliovich
59,60,NaN,David,Abell
60,61,1653,John,Abell
61,62,1634,Clamor,Abel
62,63,1962,Michael,Abels
63,64,1896,Walter,Abendroth
64,65,1804,Joseph,Abenheim
65,66,NaN,Johann,Aber
66,67,1963,Sven,Aberg
67,68,1832,Johann,Abert
68,69,1740,Bertie,Abingdon
69,70,1959,Peter,Ablinger
70,71,1950,Juris,Abols
71,72,1546,Giulio,Abondante
72,73,1907,Lora,Busck
73,74,1715,Girolamo,Abos
74,75,1715,Girolamo,Abos
75,76,1938,Isabelle,Aboulker
76,77,1920,Moukash,Abradaiev
77,78,1892,Paul,Abraham
78,79,1883,Maurice,Abrahams
79,80,1952,Hans,Abrahamsen
80,81,1978,Armine,Abrahamyan
81,82,1959,John,Abram
82,83,1758,Harriett,Abrams
83,84,1931,Daniel,Abrams
84,85,1898,Alexander,Abramsky
85,86,1928,Robert,Abramson
86,87,1975,Juan,Abras
87,88,1936,Bozhidar,Abrashev
88,89,1929,Jerzy,Abratowski
89,90,1903,Maurice,Abravanel
90,91,1848,Paz,Abreu
91,92,1570,Antonio,Abreu
92,93,1939,José,Anselmi
93,94,1820,Anton,Absenger
94,95,1893,Jean,Absil
95,96,1819,Franz,Abt
96,97,1852,Luigi,Abussi
